,Mkt-RF,SMB,HML,RMW,CMA,RF
  1964,   12.54,    0.57,    9.65,   -3.31,    6.88,    3.54
  1965,   10.52,   24.48,    6.95,   -0.85,   -3.44,    3.93
  1966,  -13.51,    2.49,   -1.14,   -0.23,   -0.98,    4.76
  1967,   24.49,   49.72,   -7.30,    8.62,  -14.73,    4.21
  1968,    8.79,   26.02,   18.49,  -13.52,   16.37,    5.21
  1969,  -17.54,  -14.22,   -9.95,   11.91,   -4.17,    6.58
  1970,   -6.49,  -12.49,   21.54,   -3.20,   24.66,    6.52
  1971,   11.78,    6.00,  -11.26,   10.29,   -5.58,    4.39
  1972,   13.05,  -11.86,    1.76,    8.24,   -3.07,    3.84
  1973,  -26.18,  -20.18,   17.47,   -8.67,    7.32,    6.93
  1974,  -35.75,    0.58,    9.87,   -4.47,   22.78,    8.00
  1975,   32.44,   19.12,    9.25,    0.93,    0.46,    5.80
  1976,   21.91,   19.88,   24.28,   -6.47,    7.34,    5.08
  1977,   -8.26,   24.49,    7.50,    2.46,   -0.04,    5.12
  1978,    1.03,   13.75,    0.59,    5.04,    4.19,    7.18
  1979,   13.09,   21.01,   -2.48,   -3.31,   -1.47,   10.38
  1980,   22.13,    4.88,  -24.63,   13.92,  -12.33,   11.24
  1981,  -18.13,    7.31,   25.12,   -1.41,   10.91,   14.71
  1982,   10.66,    7.27,   13.36,   -4.16,   17.73,   10.54
  1983,   13.75,   12.26,   20.49,    0.48,   16.06,    8.80
  1984,   -6.05,   -8.26,   19.07,   15.23,    3.64,    9.85
  1985,   24.91,   -0.25,    1.37,   11.90,   -3.00,    7.72
  1986,   10.12,  -10.31,    9.33,    7.09,   10.42,    6.16
  1987,   -3.87,  -11.13,   -1.62,    6.05,    6.63,    5.47
  1988,   11.55,    6.35,   14.37,    2.91,    9.59,    6.35
  1989,   20.49,  -13.28,   -4.12,    2.91,    7.70,    8.37
  1990,  -13.95,  -14.08,  -10.04,    7.53,    1.08,    7.81
  1991,   29.18,   15.86,  -14.72,   11.84,  -14.71,    5.60
  1992,    6.23,    8.99,   24.49,    7.30,    7.21,    3.51
  1993,    8.21,    6.26,   16.86,   -6.93,   12.47,    2.90
  1994,   -4.10,   -2.16,   -0.77,    5.84,    3.77,    3.90
  1995,   31.22,   -8.12,    6.05,    1.65,    3.01,    5.60
  1996,   15.96,   -2.82,    8.71,   15.53,    0.81,    5.21
  1997,   25.96,   -6.26,   19.10,    8.89,    6.17,    5.26
  1998,   19.46,  -28.07,  -10.32,    3.51,   -4.66,    4.86
  1999,   20.57,    8.97,  -31.96,  -27.90,   -8.42,    4.68
  2000,  -17.60,    3.77,   45.02,   24.69,   30.77,    5.89
  2001,  -15.21,   23.15,   18.50,   17.70,   13.56,    3.83
  2002,  -22.76,    5.93,    8.09,   20.82,   14.20,    1.65
  2003,   30.75,   24.52,    5.11,  -20.67,   16.56,    1.02
  2004,   10.72,    7.46,    7.67,    8.46,   -7.51,    1.20
  2005,    3.09,   -0.77,    9.43,    1.29,   -4.92,    2.98
  2006,   10.60,    1.60,   11.75,    3.81,    8.82,    4.80
  2007,    1.04,   -8.34,  -17.28,    4.70,   -7.57,    4.66
  2008,  -38.34,    2.81,    0.83,   14.75,    4.18,    1.60
  2009,   28.26,    7.93,   -9.42,    3.40,   -2.67,    0.10
  2010,   17.37,   13.72,   -5.10,   -1.51,    9.44,    0.12
  2011,    0.44,   -5.56,   -8.54,   13.49,   -0.97,    0.04
  2012,   16.27,   -0.44,    9.85,   -5.23,    9.22,    0.06
  2013,   35.20,    8.26,    2.65,   -4.18,    0.99,    0.02
  2014,   11.71,   -7.85,   -1.53,    1.34,   -1.50,    0.02
  2015,    0.09,   -5.86,   -9.49,    1.06,   -8.70,    0.02
  2016,   13.30,    9.21,   22.59,    4.50,    9.88,    0.20
  2017,   21.51,   -6.12,  -13.51,    4.72,  -11.54,    0.80
  2018,   -6.93,   -5.17,   -9.80,   -1.33,    0.06,    1.81
  2019,   28.29,   -6.19,  -10.20,    4.26,   -3.19,    2.14
  2020,   23.67,    3.16,  -46.46,   -5.16,  -11.74,    0.44
  2021,   23.56,   -1.11,   25.55,   26.73,   11.56,    0.04
