,Kelly,Max Quad Util,Max Sharpe,CLA Max Sharpe,Min Vol,CLA Min Vol
AEP,0.083,0.3198,0.0,0.23566,0.3469,0.3469
AMAT,0.083,0.0,0.0,0.0,0.0,0.0
CTAS,0.083,0.0,0.0,0.0,0.0,0.0
EBAY,0.083,0.22535,0.0,0.14838,0.23707,0.23707
GOOG,0.083,0.18637,0.35,0.35,0.10835,0.10835
INTU,0.083,0.0,0.20778,0.0,0.0,0.0
LRCX,0.083,0.0,0.0,0.0,0.0,0.0
NTES,0.083,0.11103,0.0,0.05291,0.11846,0.11846
PEP,0.083,0.08347,0.0,0.06912,0.10026,0.10026
TCOM,0.083,0.07399,0.0,0.00437,0.08895,0.08895
TSLA,0.083,0.0,0.35,0.13956,0.0,0.0
TXN,0.083,0.0,0.09222,0.0,0.0,0.0
