Date,Portfolio,Portfolio Returns,Index Returns,Over Index
2019-01-03,"['KLAC', 'AMGN', 'CMCSA', 'CHTR', 'INTC', 'WDAY', 'HON', 'ADBE', 'MNST', 'CERN', 'NVDA', 'ADSK', 'SIRI', 'SWKS', 'TXN', 'EXC']",-4.18,0.3,0
2019-01-04,"['KLAC', 'SIRI', 'CMCSA', 'WDAY', 'ADBE', 'NVDA', 'MNST', 'CERN', 'ADSK', 'ALGN', 'CHTR', 'INTC', 'SWKS', 'HON', 'TXN', 'EXC']",-9.34,-3.94,0
2019-01-05,"['KLAC', 'CMCSA', 'LRCX', 'ADSK', 'HON', 'ADBE', 'NVDA', 'MNST', 'NTES', 'CERN', 'INTC', 'SWKS', 'CHTR', 'TXN', 'QCOM', 'EXC']",-13.26,0.16,0
2019-01-06,"['LRCX', 'CERN', 'CMCSA', 'AVGO', 'HON', 'FB', 'NTES', 'ADBE', 'MNST', 'INTC', 'SWKS', 'CHTR', 'TXN', 'QCOM', 'EXC', 'ADSK']",-12.19,-0.84,0
2019-01-09,"['CHKP', 'SIRI', 'HON', 'LRCX', 'CMCSA', 'MNST', 'CERN', 'KLAC', 'ADBE', 'INTC', 'SWKS', 'ADSK', 'CHTR', 'TXN', 'QCOM', 'EXC']",-5.68,0.87,0
2019-01-10,"['REGN', 'GOOG', 'FB', 'ADBE', 'CMCSA', 'LRCX', 'SIRI', 'MNST', 'SWKS', 'KLAC', 'INTC', 'HON', 'CHTR', 'QCOM', 'ADSK', 'TXN']",-6.55,1.67,0
2019-01-11,"['GOOG', 'CMCSA', 'LRCX', 'FB', 'KLAC', 'AVGO', 'ADBE', 'SIRI', 'MNST', 'ADSK', 'INTC', 'SWKS', 'CHTR', 'HON', 'QCOM', 'TXN']",-7.52,2.19,0
2019-01-12,"['NXPI', 'ADSK', 'CMCSA', 'KLAC', 'QCOM', 'NVDA', 'INTC', 'AVGO', 'CHTR', 'MNST', 'ADBE', 'SIRI', 'HON', 'NTES', 'SWKS', 'TXN']",-9.44,1.14,0
2019-01-13,"['AVGO', 'ADSK', 'CMCSA', 'KDP', 'GOOG', 'ADBE', 'REGN', 'HON', 'MNST', 'QCOM', 'KLAC', 'CHTR', 'SIRI', 'SWKS', 'INTC', 'TXN']",-9.59,0.41,0
2019-01-17,"['QCOM', 'LRCX', 'CMCSA', 'NTES', 'AVGO', 'ADBE', 'GOOG', 'KLAC', 'SIRI', 'MNST', 'SWKS', 'HON', 'INTC', 'CHTR', 'INCY', 'TXN']",-11.87,1.74,0
2019-01-18,"['NTES', 'CHTR', 'ADBE', 'INTC', 'LRCX', 'QCOM', 'SIRI', 'ADSK', 'MNST', 'GOOG', 'HON', 'SWKS', 'EXC', 'CERN', 'INCY', 'TXN']",-8.08,1.45,0
2019-01-19,"['HON', 'CMCSA', 'CHTR', 'LRCX', 'NTES', 'CERN', 'ADBE', 'INTC', 'ADSK', 'GOOG', 'QCOM', 'EXC', 'SWKS', 'MNST', 'SIRI', 'TXN']",-7.81,2.43,0
2019-01-20,"['CHTR', 'KDP', 'LRCX', 'NXPI', 'SIRI', 'ADBE', 'CMCSA', 'INTC', 'NTES', 'GOOG', 'CERN', 'AVGO', 'SWKS', 'HON', 'MNST', 'TXN']",-16.4,2.11,0
2019-01-23,"['LRCX', 'NXPI', 'INTC', 'QCOM', 'ADBE', 'ADSK', 'AVGO', 'GOOG', 'NTES', 'CMCSA', 'SIRI', 'SWKS', 'MNST', 'HON', 'TXN', 'CERN']",-11.15,-0.96,0
2019-01-24,"['NXPI', 'INTC', 'SIRI', 'ADSK', 'CMCSA', 'MELI', 'GOOG', 'ADBE', 'SWKS', 'AVGO', 'MNST', 'QCOM', 'HON', 'EXC', 'TXN', 'CERN']",-6.4,-1.66,0
